2021-05-09 10:21:46 UTC Syncing #12399381 0x8e89…3b38     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399589   40/50 peers      7 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:21:51 UTC Syncing #12399381 0x8e89…3b38     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399589   40/50 peers      5 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:21:56 UTC Syncing #12399381 0x8e89…3b38     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399589   40/50 peers      5 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:22:01 UTC Syncing #12399382 0x24d0…bd88     0.20 blk/s   42.0 tx/s    3.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399590   40/50 peers      6 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:22:06 UTC Syncing #12399382 0x24d0…bd88     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399590   40/50 peers      6 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:22:11 UTC Syncing #12399382 0x24d0…bd88     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  214 Qed Ancient:#12118719 LI:#12399591   40/50 peers      6 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:22:16 UTC Syncing #12399382 0x24d0…bd88     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  214 Qed Ancient:#12118719 LI:#12399591   40/50 peers      4 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:22:21 UTC Syncing #12399383 0x4e34…8dc9     0.20 blk/s   40.8 tx/s    3.0 Mgas/s      0+  214 Qed Ancient:#12118719 LI:#12399592   40/50 peers      7 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:22:26 UTC Syncing #12399383 0x4e34…8dc9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  214 Qed Ancient:#12118719 LI:#12399592   40/50 peers      9 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:22:31 UTC Syncing #12399384 0x3733…c816     0.20 blk/s   49.2 tx/s    3.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399592   40/50 peers      8 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:22:36 UTC Syncing #12399384 0x3733…c816     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399592   40/50 peers      9 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:22:41 UTC Syncing #12399384 0x3733…c816     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399592   40/50 peers      8 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:22:46 UTC Syncing #12399384 0x3733…c816     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  215 Qed Ancient:#12118719 LI:#12399594   40/50 peers      5 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:22:51 UTC Syncing #12399385 0x6d3e…e8f6     0.20 blk/s   77.8 tx/s    3.0 Mgas/s      0+  214 Qed Ancient:#12118719 LI:#12399594   40/50 peers      5 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:22:56 UTC Syncing #12399385 0x6d3e…e8f6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  215 Qed Ancient:#12118719 LI:#12399595   40/50 peers      5 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:23:01 UTC Syncing #12399386 0x822f…dfe6     0.20 blk/s   67.4 tx/s    3.0 Mgas/s      0+  214 Qed Ancient:#12118719 LI:#12399595   40/50 peers      5 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
